Producto,SKU,Stock,Costo,Precio,Unidad de Medida,Fecha de Caducidad
Algodón 100g Mini,ABR-00001,188,17.35,26.76,pieza,2029-02-18
Pizza congelada Pepperoni,ABR-00002,8,75.54,111.59,pieza,2026-08-31
Cerveza Corona Extra 355ml Jumbo,ABR-00003,183,18.29,28.27,pieza,2027-10-04
Cheetos Flamin Hot 55g,ABR-00004,194,12.54,20.12,pieza,2027-01-11
Naranja,ABR-00005,195,21.22,33.41,kg,2027-07-11
Cerveza Victoria 355ml Pack 2,ABR-00006,67,15.64,24.38,pieza,2026-09-14
Lechuga romana,ABR-00007,20,16.92,29.89,pieza,2027-05-28
Paleta Vero Mango,ABR-00008,49,6.37,9.78,pieza,2026-10-11
Powerade Azul 500ml,ABR-00009,218,12.00,22.63,pieza,2027-03-27
Salsa verde Herdez 210g Familiar,ABR-00010,41,13.90,23.18,pieza,2027-08-15
Harina de trigo Tres Estrellas 1kg Familiar,ABR-00011,18,22.71,35.00,kg,2027-01-23
Jabón Zote Blanco 400g,ABR-00012,236,17.03,27.46,pieza,2029-10-16
Camarones congelados 400g,ABR-00013,210,99.08,134.70,pieza,2026-09-02
Panque Bimbo Nuez,ABR-00014,310,17.33,26.71,pieza,2027-06-19
Sabritas Adobadas 45g,ABR-00015,93,11.80,19.19,pieza,2027-04-29
Huevos San Juan 12pz Jumbo,ABR-00016,318,42.26,60.29,paquete,2027-09-13
Avena Quaker 400g Pack 3,ABR-00017,12,35.05,48.60,pieza,2026-11-21
Chorizo San Rafael 400g,ABR-00018,16,57.57,83.94,pieza,2027-08-30
Atún Tuny en aceite 140g,ABR-00019,141,16.91,24.97,pieza,2026-08-12
Vegetales congelados 400g,ABR-00020,68,36.02,52.31,pieza,2027-07-15
Sidral Mundet 600ml Pack 3,ABR-00021,224,8.93,17.16,pieza,2027-04-27
Mermelada de durazno 270g,ABR-00022,160,30.04,42.17,pieza,2027-06-02
Huevo Kínder 20g,ABR-00023,102,22.38,33.06,pieza,2026-08-01
Shampoo Sedal 340ml,ABR-00024,224,38.77,69.46,pieza,2030-04-14
Cacahuates salados 100g Jumbo,ABR-00025,124,16.07,22.41,pieza,2026-10-10
Fósforos Cerillos La Central,ABR-00026,242,4.70,10.26,caja,2029-06-27
Chocolate Carlos V 18g,ABR-00027,237,8.14,12.89,pieza,2027-02-22
Papa blanca,ABR-00028,112,23.74,35.84,kg,2028-01-12
Vinagre blanco 1L Pack 3,ABR-00029,141,11.16,18.47,pieza,2029-11-07
Ambientador Glade Lavanda Pack 2,ABR-00030,17,39.26,53.91,pieza,2028-09-26
Nopales en escabeche 400g,ABR-00031,124,18.04,27.01,pieza,2027-03-08
Detergente Ace 1kg Jumbo,ABR-00032,121,38.46,52.74,kg,2030-11-04
Donas Bimbo 6pz Mini,ABR-00033,119,34.61,47.41,paquete,2026-09-25
Nuggets de pollo 500g,ABR-00034,186,66.52,88.32,pieza,2027-07-14
Yogurt bebible Danone Fresa 220g,ABR-00035,114,9.60,15.21,pieza,2026-12-22
Pasta codito La Moderna 200g Individual,ABR-00036,113,7.68,14.95,pieza,2026-11-09
Red Bull 250ml,ABR-00037,23,28.18,44.27,pieza,2027-03-31
Pan Bimbo Integral,ABR-00038,50,41.87,61.38,pieza,2027-01-16
Atún Tuny en aceite 140g Individual,ABR-00039,116,16.36,27.18,pieza,2027-05-20
Pasta codito La Moderna 200g,ABR-00040,169,8.30,14.63,pieza,2027-12-12
Chorizo San Rafael 400g Pack 3,ABR-00041,138,59.12,86.08,pieza,2026-10-02
Encendedor BIC,ABR-00042,235,7.42,14.94,pieza,2031-07-16
Tocino Kirby 250g Jumbo,ABR-00043,152,54.10,83.58,pieza,2026-10-09
Nuggets de pollo 500g,ABR-00044,145,64.00,101.71,pieza,2027-04-10
Jabón líquido para trastes Axion 750ml,ABR-00045,149,32.61,47.38,pieza,2031-06-29
Chicles Orbit Spearmint,ABR-00046,61,14.29,24.83,paquete,2027-04-29
Frijoles refritos La Costeña 580g Mini,ABR-00047,192,17.42,27.18,pieza,2026-10-14
Pepsi 600ml,ABR-00048,54,8.10,13.04,pieza,2028-01-01
Chocolate Carlos V 18g Familiar,ABR-00049,94,8.49,12.73,pieza,2027-05-19
Tocino Kirby 250g,ABR-00050,206,58.40,85.22,pieza,2026-08-09
Helado Magnum Almendras,ABR-00051,240,30.97,49.25,pieza,2026-12-16
Chocolate Carlos V 18g Pack 2,ABR-00052,72,8.31,11.34,pieza,2027-03-04
Aguacate Hass,ABR-00053,270,56.65,89.80,kg,2027-04-15
